,original_title,year_x,composer,time_stamp,type,volume,length,imdb_title_id,title,year_y,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
55,10 Cloverfield Lane,2016,Bear McCreary,0:02:59,3-Feb,"1, 3b",2:59,tt1179933,10 Cloverfield Lane,2016,4/28/16,"Action, Drama, Horror",103,USA,English,Dan Trachtenberg,"Josh Campbell, Matthew Stuecken",Paramount Pictures,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin, Suzanne Cryer, Bradley Cooper, Sumalee Montano, Frank Mottek","After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",7.2,283194,"$15,000,000 ","$72,082,998 ","$110,216,998 ",76,751,521
48,1BR,2019,Ronen Landa,0:27:00,3,4,,tt7541106,1BR,2019,4/24/20,"Drama, Horror, Thriller",90,USA,English,David Marmor,David Marmor,1BR Movie,"Nicole Brydon Bloom, Giles Matthey, Taylor Nichols, Alan Blumenfeld, Naomi Grossman, Celeste Sully, Susan Davis, Clayton Hoff, Earnestine Phillips, Hailey Giles, Andrea Gabriel, Hannah Altman, Curtis Webster, Jay Pennick, Andrew Carrillo","Sarah tries to start anew in LA, but her neighbours are not what they seem.",5.8,4936,,,,56,123,76
26,A Time to Kill,1996,Elliot Goldenthal,0:49:20,1,6,,tt0117913,Il momento di uccidere,1996,10/31/96,"Crime, Drama, Thriller",149,USA,English,Joel Schumacher,"John Grisham, Akiva Goldsman",Regency Enterprises,"Matthew McConaughey, Sandra Bullock, Samuel L. Jackson, Kevin Spacey, Oliver Platt, Charles S. Dutton, Brenda Fricker, Donald Sutherland, Kiefer Sutherland, Patrick McGoohan, Ashley Judd, Tonea Stewart, RaéVen Kelly, Darrin Mitchell, LaConte McGrew","In Canton, Mississippi, a fearless young lawyer and his assistant defend a black man accused of murdering two white men who raped his ten-year-old daughter, inciting violent retribution and revenge from the Ku Klux Klan.",7.5,128589,"$40,000,000 ","$108,766,007 ","$152,266,007 ",54,265,80
30,Alien,1979,Jerry Goldsmith,1:53:30,2,2,,tt0078748,Alien,1979,10/25/79,"Horror, Sci-Fi",117,"UK, USA",English,Ridley Scott,"Dan O'Bannon, Dan O'Bannon",Brandywine Productions,"Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton, John Hurt, Ian Holm, Yaphet Kotto, Bolaji Badejo, Helen Horton","After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",8.4,768874,"$11,000,000 ","$81,765,459 ","$108,110,316 ",89,1448,464
70,Armageddon,1998,Trevor Rabin,0:24:57,2,6,,tt0120591,Armageddon - Giudizio finale,1998,9/4/98,"Action, Adventure, Sci-Fi",151,USA,"English, Russian, Indonesian",Michael Bay,"Jonathan Hensleigh, J.J. Abrams",Touchstone Pictures,"Bruce Willis, Billy Bob Thornton, Ben Affleck, Liv Tyler, Will Patton, Steve Buscemi, William Fichtner, Owen Wilson, Michael Clarke Duncan, Peter Stormare, Ken Hudson Campbell, Jessica Steen, Keith David, Chris Ellis, Jason Isaacs","After discovering that an asteroid the size of Texas is going to impact Earth in less than a month, NASA recruits a misfit team of deep-core drillers to save the planet.",6.7,389810,"$140,000,000 ","$201,578,182 ","$553,709,788 ",42,1228,171
75,Avengers: Infinity War,2018,Alan Silvestri,0:33:52,3,1,:31,tt4154756,Avengers: Infinity War,2018,4/25/18,"Action, Adventure, Sci-Fi",149,USA,English,"Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely",Marvel Studios,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Don Cheadle, Benedict Cumberbatch, Tom Holland, Chadwick Boseman, Zoe Saldana, Karen Gillan, Tom Hiddleston, Paul Bettany, Elizabeth Olsen, Anthony Mackie",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,8.4,796486,"$321,000,000 ","$678,815,482 ","$2,048,359,754 ",68,4273,611
12,Batman Returns,1992,Danny Elfman,12:15:00,2,2,:17,tt0103776,Batman - Il ritorno,1992,9/11/92,"Action, Crime, Fantasy",126,"USA, UK",English,Tim Burton,"Bob Kane, Daniel Waters",Warner Bros.,"Michael Keaton, Danny DeVito, Michelle Pfeiffer, Christopher Walken, Michael Gough, Michael Murphy, Cristi Conaway, Andrew Bryniarski, Pat Hingle, Vincent Schiavelli, Steve Witting, Jan Hooks, John Strong, Rick Zumwalt, Anna Katarina",Batman returns to the big screen when a deformed man calling himself the Penguin wreaks havoc across Gotham with the help of a cruel businessman.,7,269035,"$80,000,000 ","$162,902,340 ","$266,903,053 ",68,682,186
86,Batman: Mask of the Phantasm,1993,Shirley Walker,0:02:00,2,6,,tt0106364,Batman - La maschera del fantasma,1993,12/25/93,"Animation, Action, Crime",76,USA,English,"Kevin Altieri, Boyd Kirkland","Alan Burnett, Alan Burnett",Warner Bros. Animation,"Kevin Conroy, Dana Delany, Hart Bochner, Stacy Keach, Abe Vigoda, Dick Miller, John P. Ryan, Efrem Zimbalist Jr., Bob Hastings, Robert Costanzo, Mark Hamill, Jane Downs, Pat Musick, Vernee Watson, Ed Gilbert",Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.,7.8,42411,"$6,000,000 ","$5,635,204 ","$5,635,204 ",,178,70
60,Beauty and the Beast,1991,Alan Menken,,2b,3a,,tt0101414,La bella e la bestia,1991,12/4/92,"Animation, Family, Fantasy",84,USA,"English, French","Gary Trousdale, Kirk Wise","Linda Woolverton, Brenda Chapman",Walt Disney Pictures,"Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury, Paige O'Hara, Jerry Orbach, Bradley Pierce, David Ogden Stiers, Richard White, Jo Anne Worley, Mary Kay Bergman, Brian Cummings, Alvin Epstein, Tony Jay, Alec Murphy",A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,8,410499,"$25,000,000 ","$218,967,620 ","$440,118,382 ",95,437,212
6,Big Trouble in Little China,1986,John Carpenter,0:11:11,2b,1,:45,tt0090728,Grosso guaio a Chinatown,1986,9/5/86,"Action, Adventure, Comedy",99,USA,"English, Cantonese",John Carpenter,"Gary Goldman, David Z. Weinstein",Twentieth Century Fox,"Kurt Russell, Kim Cattrall, Dennis Dun, James Hong, Victor Wong, Kate Burton, Donald Li, Carter Wong, Peter Kwong, James Pax, Suzee Pai, Chao Li Chi, Jeff Imada, Rummel Mor, Craig Ng",A rough-and-tumble trucker helps rescue his friend's fiancée from an ancient sorcerer in a supernatural battle beneath Chinatown.,7.3,120764,"$25,000,000 ","$11,100,000 ","$11,100,374 ",53,397,223
